종목명,종목코드,분류KSE,분류FICS,현재가,1개월,3개월,6개월,1년,3년,최고가,최저가,주당순이익,주당순자산,배당금,PER,PBR,배당률
삼성전자,e=005930,KSE  코스피 전기·전자,FICS  반도체 및 관련장비,"108,400",+7.75,+55.97,+83.42,+101.86,84.04,"111,100"," 51,000","4,950","57,930","1,446",10.75,0.92,2.72
SK하이닉스,e=000660,KSE  코스피 전기·전자,FICS  반도체 및 관련장비,"544,000",-6.04,+98.90,+142.32,+214.45,589.48,"620,000"," 164,800","27,182","104,567","2,204",6.40,1.66,1.27
LG에너지솔루션,e=373220,KSE  코스피 전기·전자,FICS  전자 장비 및 기기,"426,000",-8.19,+24.20,+46.39,+11.52,-24.33,"514,000"," 268,000","-4,354","90,240",,N/A,3.86,
삼성바이오로직스,e=207940,KSE  코스피 제약,FICS  바이오,"1,641,000",-8.68,+8.25,+9.42,+15.66,34.18,"1,813,189"," 1,374,609","15,221","153,212",,91.76,9.12,
현대차,e=005380,KSE  코스피 운송장비·부품,FICS  자동차,"315,000",+17.32,+43.18,+66.14,+54.03,93.25,"315,000"," 177,500","46,042","405,094","12,000",4.60,0.52,5.66
두산에너빌리티,e=034020,KSE  코스피 기계·장비,FICS  기계,"80,400",-3.83,+30.10,+75.16,+330.18,404.08,"96,400"," 17,180",174,"11,706",,100.95,1.50,
기아,e=000270,KSE  코스피 운송장비·부품,FICS  자동차,"123,600",+11.35,+15.95,+32.76,+31.49,90.15,"123,600"," 82,000","24,413","141,271","6,500",4.12,0.71,6.45
KB금융,e=105560,KSE  코스피 금융,FICS  상업은행,"130,700",+7.48,+20.35,+22.95,+52.33,157.28,"134,700"," 70,500","12,705","150,243","3,174",6.52,0.55,3.83
한화에어로스페이스,e=012450,KSE  코스피 운송장비·부품,FICS  상업서비스,"895,000",-5.79,-2.72,-1.10,+195.10,"1,209.40","1,107,000"," 274,733","46,183","108,270","3,431",6.96,2.97,1.07
HD현대중공업,e=329180,KSE  코스피 운송장비·부품,FICS  조선,"534,000",+1.14,+4.09,+25.65,+151.29,350.63,"624,000"," 208,000","7,001","64,259","2,090",41.07,4.47,0.73
셀트리온,e=068270,KSE  코스피 제약,FICS  바이오,"183,300",+4.80,+8.46,+16.68,+10.08,18.54,"196,100"," 146,216","1,789","82,821",688,100.97,2.18,0.38
삼성물산,e=028260,KSE  코스피 유통,FICS  복합 산업,"244,000",+13.23,+39.43,+44.46,+100.82,110.34,"245,500"," 108,300","12,280","180,536","2,600",9.35,0.64,2.26
