종목명,가격,분기,매출액,영업이익,순이익,영업이익률,전년도ROE,ROE,EPS,BPS,DPS,PBR,분기말종가,복리승수(10),자산가치(10),적정가격
삼성전자,"108,400", 2024/09,"790,987","91,834","101,009",11.61,9.03,10.44,"1,440","55,376",361,1.11,"61,467",2.37,"131,241","32,440"
삼성전자,"108,400", 2024/12,"757,883","64,927","77,544",8.57,9.03,7.89,"1,115","57,930",363,0.92,"53,295",2.37,"137,294","33,936"
삼성전자,"108,400", 2025/03,"791,405","66,853","82,229",8.45,9.03,8.16,"1,186","59,027",365,0.98,"57,846",2.37,"139,893","34,579"
삼성전자,"108,400", 2025/06,"745,663","46,761","51,164",6.27,9.03,5.03,733,"58,114",367,1.03,"59,857",2.37,"137,730","34,044"
삼성전자,"108,400", 2025/09,"860,617","121,661","122,257",14.14,9.03,12.15,"1,783","60,658",370,1.38,"83,708",2.37,"143,759","35,535"
삼성전자,"108,400", 2025/12(E),"871,868","149,229","128,620",17.12,9.03,14.06,"2,096",,,,0,0,0,0
삼성전자,"108,400", 2026/03(E),"936,372","178,014","156,360",19.01,9.03,,"2,313",,,,0,0,0,0
삼성전자,"108,400", 2026/06(E),"938,695","201,548","167,873",21.47,9.03,,"2,456",,,,0,0,0,0
SK하이닉스,"544,000", 2024/09,"175,731","70,300","57,534",40.0,31.06,36.75,"7,897","92,749",300,1.88,"174,368",14.95,"1,386,597","342,745"
SK하이닉스,"544,000", 2024/12,"197,670","80,828","80,065",40.89,31.06,45.98,"10,990","104,567","1,304",1.66,"173,581",14.95,"1,563,276","386,417"
SK하이닉스,"544,000", 2025/03,"176,391","74,405","81,082",42.18,31.06,41.75,"11,136","114,795",375,1.66,"190,559",14.95,"1,716,185","424,214"
SK하이닉스,"544,000", 2025/06,"222,320","92,129","69,962",41.44,31.06,33.21,"9,612","122,623",375,2.38,"291,842",14.95,"1,833,213","453,142"
SK하이닉스,"544,000", 2025/09,"244,489","113,834","125,975",46.56,31.06,53.85,"17,301","140,283",375,2.48,"347,901",14.95,"2,097,230","518,403"
SK하이닉스,"544,000", 2025/12(E),"283,446","144,170","117,225",50.86,31.06,46.06,"15,814",,,,0,0,0,0
SK하이닉스,"544,000", 2026/03(E),"294,669","156,110","124,330",52.98,31.06,,"18,488",,,,0,0,0,0
SK하이닉스,"544,000", 2026/06(E),"329,599","181,999","145,445",55.22,31.06,,"20,293",,,,0,0,0,0
LG에너지솔루션,"426,000", 2024/09,"68,778",-177,"5,613",-0.26,-4.93,2.61,569,"86,397",,4.80,"414,705",0.6,"51,838","12,813"
LG에너지솔루션,"426,000", 2024/12,"64,512","-6,028","-4,110",-9.34,-4.93,-13.15,"-2,905","90,240",,3.86,"348,326",0.6,"54,144","13,383"
LG에너지솔루션,"426,000", 2025/03,"62,650",-830,"2,266",-1.32,-4.93,-2.76,-623,"90,439",,3.70,"334,624",0.6,"54,263","13,412"
LG에너지솔루션,"426,000", 2025/06,"55,654",14,906,0.03,-4.93,-5.84,"-1,271","83,795",,3.54,"296,634",0.6,"50,277","12,427"
